word;d;type;t
accelerator;"acelerador {m}, [colloquial, Chile] chala {f}, chancla {f} [Costa Rica], chancleta {f} [Colombia], chola {f} [Venezuela]";n;{n} (accelerator pedal)
accelerator;acelerador {m};n;{n} (a device for causing acceleration)
accelerator;acelerador {m};n;"{n} /�k.?s?l.?.??e?.t?/ (one who, or that which, accelerates)"
accelerometer;aceler�metro {m};n;{n} /�k.?s?l.?.?r?m.?.t?/ (instrument for measuring acceleration)
accent;acento {m};n;{n} /?�k.?s?nt/ (a stronger articulation)
accent;"acento {m}, tilde {f}";n;{n} (a mark used in writing)
accent;acento {m};n;{n} (a recurring stress on a tone)
accent;acento {m};n;{n} (modulation of the voice)
accent;acento {m};n;{n} (stress on syllables of a verse)
accent;acento {m};n;{n} (the expressive emphasis of a passage)
accent;acentuar;v;{v} /�k.?s?nt/ (to emphasize)
accent;acentuar;v;{v} (to mark with written accents)
accentor;acentor {m};n;{n} /?k.?s?n.t?/ (bird of the Prunella genus)
accentuate;acentuar;v;{v} /?k?sen.t?u.e?t/ (to pronounce with an accent)
accentuate;acentuar;v;{v} (to bring out distinctly)
accentuate;acentuar;v;{v} (to mark with a written accent)
accept;aceptar;v;{v} /?k?s?pt/ (to receive with consent)
accept;aceptar;v;{v} (to agree to)
accept;aceptar;v;{v} (to receive officially)
acceptability;aceptabilidad {f};n;{n} /?�k.?s?p.t?.?b?l.?t.i/ (acceptableness)
acceptable;aceptable;adj;"{adj} /�k.?s?p.t?.b?l/ (capable, worthy or sure of being accepted)"
acceptance;aceptaci�n;n;{n}
acceptance;"aceptaci�n {f}, aprobaci�n {f}";n;{n} /?k.?s?p.t?ns/ (receiving of something offered)
